Annual_Death_Rate,Probability_of_Death,Number_of_Deaths,Life_Expectancy,ID,Female_Deaths,Male_Deaths,Total_Deaths,Year,Age,Female_population,Male_population,Total_population
0.11,0.11,107,54,1984_22,1129.2,3564.17,4693.37,1984,22,2139867.69,2168155.98,4308023.67
0.11199999999999999,0.11199999999999999,109,53,1984_23,1206.22,3645.2,4851.42,1984,23,2147774.64,2161760.05,4309534.69
0.11,0.11,107,52,1984_24,1245.22,3532.16,4777.38,1984,24,2169826.56,2184029.38,4353855.94
0.11,0.11,107,51,1984_25,1204.22,3599.19,4803.41,1984,25,2181236.84,2191268.68,4372505.52
0.11100000000000002,0.11100000000000002,108,50,1984_26,1256.22,3581.18,4837.4,1984,26,2171998.28,2176390.2,4348388.48
0.11299999999999999,0.11299999999999999,110,49,1984_27,1322.23,3609.19,4931.42,1984,27,2152203.47,2149694.16,4301897.63
0.11900000000000001,0.11900000000000001,116,48,1984_28,1309.23,3518.15,4827.38,1984,28,2010690.86,2000885.18,4011576.04
0.11299999999999999,0.11199999999999999,109,47,1984_29,1401.24,3448.13,4849.37,1984,29,2135592.96,2130114.56,4265707.52
0.122,0.122,118,46,1984_30,1439.26,3638.2,5077.46,1984,30,2066358.19,2045602.85,4111961.04
0.129,0.129,125,45,1984_31,1507.26,3606.19,5113.45,1984,31,1971009.03,1941971.2,3912980.23
0.13,0.13,125,44,1984_32,1448.26,3576.17,5024.43,1984,32,1934911.7,1901441.15,3836352.85
0.13799999999999998,0.13799999999999998,133,43,1984_33,1586.28,3600.19,5186.47,1984,33,1867682.66,1821620.59,3689303.25
0.14100000000000001,0.14100000000000001,136,42,1984_34,1689.3,3602.18,5291.48,1984,34,1883057.12,1852058.2,3735115.32
0.146,0.146,141,41,1984_35,1749.31,3628.19,5377.5,1984,35,1858600.49,1814624.0,3673224.49
0.159,0.159,153,40,1984_36,1888.33,3859.27,5747.6,1984,36,1891699.26,1836611.75,3728311.01
0.163,0.163,157,40,1984_37,2112.38,4013.32,6125.7,1984,37,1707840.47,1650292.67,3358133.14
0.189,0.189,181,39,1984_38,1831.33,3514.16,5345.49,1984,38,1403332.25,1352374.33,2755706.58
0.19,0.19,181,38,1984_39,1973.35,3685.22,5658.57,1984,39,1511338.32,1466536.22,2977874.54
0.215,0.215,205,37,1984_40,2232.4,4134.36,6366.76,1984,40,1546651.58,1492616.54,3039268.12
0.22799999999999998,0.22799999999999998,217,36,1984_41,2389.42,4386.44,6775.86,1984,41,1448629.11,1397052.95,2845682.06
0.256,0.256,243,35,1984_42,2518.44,4355.44,6873.88,1984,42,1322692.73,1275616.9,2598309.63
0.272,0.272,258,34,1984_43,2538.45,4349.43,6887.88,1984,43,1260906.43,1206897.69,2467804.12
0.3,0.3,284,33,1984_44,2739.48,4674.54,7414.02,1984,44,1244553.07,1197945.88,2442498.95
0.326,0.325,307,32,1984_45,2960.52,4795.58,7756.1,1984,45,1208234.18,1158397.88,2366632.06
0.358,0.357,335,31,1984_46,3059.54,5319.75,8379.29,1984,46,1180776.12,1125822.78,2306598.9
0.394,0.393,368,30,1984_47,3272.58,5758.89,9031.47,1984,47,1166403.58,1107836.06,2274239.64
0.44999999999999996,0.449,419,30,1984_48,3623.64,6022.99,9646.63,1984,48,1095643.32,1044236.63,2139879.95
0.482,0.48,446,29,1984_49,4004.71,6917.28,10921.99,1984,49,1139072.12,1088730.0,2227802.12
0.528,0.527,487,28,1984_50,4196.75,7250.38,11447.13,1984,50,1119662.53,1048617.18,2168279.71
0.605,0.603,555,27,1984_51,4811.85,8045.64,12857.49,1984,51,1099406.06,1029228.88,2128634.94
0.656,0.654,598,26,1984_52,5105.91,9022.97,14128.88,1984,52,1134375.92,1054368.47,2188744.39
0.7020000000000001,0.7000000000000001,635,25,1984_53,5811.03,9853.24,15664.27,1984,53,1166631.1,1092001.18,2258632.28
0.758,0.755,681,24,1984_54,6543.16,10868.58,17411.74,1984,54,1198508.63,1112535.42,2311044.05
0.84,0.836,748,24,1984_55,6974.24,12024.96,18999.2,1984,55,1193610.1,1089708.74,2283318.84
0.932,0.928,823,23,1984_56,7837.39,13466.43,21303.82,1984,56,1204507.5,1089629.03,2294136.53
1.013,1.008,886,22,1984_57,8750.56,14684.83,23435.39,1984,57,1218402.72,1089215.89,2307618.61
1.154,1.1480000000000001,999,21,1984_58,9681.72,15717.17,25398.89,1984,58,1176601.91,1041574.48,2218176.39
1.2189999999999999,1.212,1042,21,1984_59,10541.87,17327.7,27869.57,1984,59,1224540.53,1076308.71,2300849.24
1.319,1.31,1114,20,1984_60,11307.0,18513.08,29820.08,1984,60,1204776.15,1046593.39,2251369.54
1.4120000000000001,1.402,1176,19,1984_61,11737.08,19323.36,31060.44,1984,61,1179903.52,1028691.09,2208594.61
1.625,1.6119999999999999,1333,18,1984_62,13336.37,21511.07,34847.44,1984,62,1149913.21,999361.42,2149274.63
1.73,1.7160000000000002,1396,18,1984_63,13881.47,22749.49,36630.96,1984,63,1113927.13,970894.67,2084821.8
1.839,1.822,1457,17,1984_64,14710.61,23356.68,38067.29,1984,64,1099560.45,935361.79,2034922.24
1.957,1.9380000000000002,1521,16,1984_65,15273.71,23631.77,38905.48,1984,65,1078737.15,902877.3,1981614.45
2.156,2.133,1642,16,1984_66,16160.87,25000.23,41161.1,1984,66,1042811.22,858668.7,1901479.92
2.2880000000000003,2.262,1704,15,1984_67,16895.0,25676.45,42571.45,1984,67,1016800.46,820640.93,1837441.39
2.551,2.519,1855,14,1984_68,17904.18,26646.76,44550.94,1984,68,969229.84,765399.26,1734629.1
2.767,2.7289999999999996,1959,14,1984_69,19302.43,28298.31,47600.74,1984,69,972560.7,742961.99,1715522.69
3.0349999999999997,2.989,2087,13,1984_70,20571.65,28973.53,49545.18,1984,70,926466.68,698952.95,1625419.63
3.245,3.1940000000000004,2163,12,1984_71,21264.78,29601.73,50866.51,1984,71,894892.3,661981.94,1556874.24
3.528,3.467,2273,12,1984_72,22121.93,29997.87,52119.8,1984,72,850859.87,616616.1,1467475.97
3.894,3.82,2418,11,1984_73,23450.16,30649.08,54099.24,1984,73,805730.32,569414.17,1375144.49
4.1259999999999994,4.042,2461,11,1984_74,24282.31,30994.19,55276.5,1984,74,786350.03,538352.59,1324702.62
4.436,4.3389999999999995,2535,10,1984_75,25033.44,30438.01,55471.45,1984,75,739922.61,495145.28,1235067.89
4.952999999999999,4.833,2701,10,1984_76,26394.69,30793.12,57187.81,1984,76,693675.31,447659.51,1141334.82
5.224,5.090999999999999,2708,9,1984_77,26563.71,29592.73,56156.44,1984,77,654510.14,407152.68,1061662.82
5.718999999999999,5.56,2806,9,1984_78,27487.88,28925.51,56413.39,1984,78,607119.05,366538.12,973657.17
6.253,6.064,2891,8,1984_79,28296.02,28439.35,56735.37,1984,79,564428.47,329626.79,894055.26
6.973999999999999,6.739000000000001,3018,8,1984_80,28696.09,27097.91,55794.0,1984,80,506166.48,283291.14,789457.62
7.531000000000001,7.258000000000001,3031,7,1984_81,28679.1,26122.59,54801.69,1984,81,469112.11,252026.65,721138.76
8.15,7.831,3033,7,1984_82,28269.02,23824.83,52093.85,1984,82,403037.89,208194.69,611232.58
9.299,8.886,3172,6,1984_83,30923.49,23395.7,54319.19,1984,83,410354.23,199419.65,609773.88
10.132,9.644,3137,6,1984_84,30181.36,21896.2,52077.56,1984,84,320001.3,152733.24,472734.54
10.883,10.322000000000001,3033,6,1984_85,28287.02,18966.24,47253.26,1984,85,306794.25,137482.0,444276.25
12.037,11.354000000000001,2992,5,1984_86,28433.05,18023.92,46456.97,1984,86,260782.96,114476.85,375259.81
13.18,12.365,2889,5,1984_87,27265.84,16741.51,44007.35,1984,87,237633.5,100050.48,337683.98
14.247000000000002,13.3,2723,5,1984_88,26476.71,15105.96,41582.67,1984,88,205914.75,83377.41,289292.16
15.581,14.455000000000002,2566,4,1984_89,24783.4,13278.37,38061.77,1984,89,171846.5,67395.66,239242.16
17.11,15.761,2393,4,1984_90,22663.02,11428.76,34091.78,1984,90,142044.2,53501.52,195545.72
18.538,16.965,2170,4,1984_91,20248.59,9896.25,30144.84,1984,91,118832.84,43111.06,161943.9
20.293,18.424,1957,3,1984_92,17917.18,8056.65,25973.83,1984,92,90943.67,31449.67,122393.34
21.990000000000002,19.811999999999998,1717,3,1984_93,15054.67,6405.1,21459.77,1984,93,72409.6,24112.88,96522.48
24.095,21.504,1494,3,1984_94,12895.29,5250.72,18146.01,1984,94,55871.5,18204.97,74076.47
25.811,22.861,1247,3,1984_95,10487.86,4156.37,14644.23,1984,95,41805.45,13128.52,54933.97
27.903,24.487000000000002,1030,3,1984_96,8044.43,3020.99,11065.42,1984,96,27976.66,8621.53,36598.19
30.104,26.165,831,2,1984_97,5841.04,2082.69,7923.73,1984,97,20104.18,5807.62,25911.8
32.408,27.889000000000003,654,2,1984_98,4527.8,1486.49,6014.29,1984,98,13885.0,3935.86,17820.86
34.809,29.648000000000003,501,2,1984_99,3235.57,1039.34,4274.91,1984,99,9556.67,2592.39,12149.06
37.296,31.434,374,2,1984_100,2296.4,699.23,2995.63,1984,100,6240.31,1635.96,7876.27
39.86,33.236,271,2,1984_101,1545.27,467.15,2012.42,1984,101,4016.67,1064.38,5081.05
42.487,35.043,191,2,1984_102,1032.18,294.1,1326.28,1984,102,2529.68,644.26,3173.94
45.164,36.844,130,2,1984_103,646.12,158.06,804.18,1984,103,1534.88,421.2,1956.08
47.875,38.628,86,1,1984_104,410.08,97.03,507.11,1984,104,842.55,247.75,1090.3
50.602999999999994,40.385,55,1,1984_105,224.04,64.02,288.06,1984,105,509.68,124.64,634.32
53.333,42.105,34,1,1984_106,157.02,41.02,198.04,1984,106,321.13,87.57,408.7
56.047000000000004,43.779,21,1,1984_107,87.02,23.0,110.02,1984,107,206.25,65.4,271.65
58.730000000000004,45.399,12,1,1984_108,69.02,14.0,83.02,1984,108,148.63,29.58,178.21
61.365,46.957,7,1,1984_109,27.0,10.0,37.0,1984,109,73.85,25.67,99.52
63.937999999999995,100.0,8,1,1984_110,58.0,36.0,94.0,1984,110,149.43,81.75,231.18
1.091,1.08,1080,74,1985_0,17078.67,22968.28,40046.95,1985,0,1770423.82,1854993.4,3625417.22
0.08099999999999999,0.08099999999999999,80,74,1985_1,1253.49,1584.7,2838.19,1985,1,1713303.7,1796761.89,3510065.59
0.055,0.055,54,73,1985_2,832.32,1109.49,1941.81,1985,2,1730799.69,1812208.73,3543008.42
0.039,0.039,39,72,1985_3,560.22,829.37,1389.59,1985,3,1733703.97,1813027.41,3546731.38
0.033,0.033,32,71,1985_4,453.18,719.32,1172.5,1985,4,1731500.28,1811741.09,3543241.37
0.027999999999999997,0.027999999999999997,28,70,1985_5,442.17,554.25,996.42,1985,5,1690080.33,1767576.13,3457656.46
0.027999999999999997,0.027999999999999997,27,69,1985_6,399.16,539.24,938.4,1985,6,1635667.24,1712340.32,3348007.56
0.023,0.023,23,68,1985_7,328.13,447.2,775.33,1985,7,1622579.34,1702094.93,3324674.27
0.023,0.023,23,67,1985_8,287.11,449.2,736.31,1985,8,1527212.35,1603982.02,3131194.37
0.022000000000000002,0.022000000000000002,22,66,1985_9,282.11,441.2,723.31,1985,9,1580376.22,1659929.98,3240306.2
0.021,0.021,20,65,1985_10,241.1,437.2,678.3,1985,10,1590666.1,1676901.12,3267567.22
0.023,0.023,22,64,1985_11,281.11,447.2,728.31,1985,11,1575104.27,1651365.33,3226469.6
0.026,0.026,26,63,1985_12,339.13,517.23,856.36,1985,12,1639983.18,1714960.58,3354943.76
0.031,0.031,30,62,1985_13,363.14,713.32,1076.46,1985,13,1772331.85,1854072.58,3626404.43
0.038,0.038,37,61,1985_14,486.19,941.42,1427.61,1985,14,1836123.19,1926766.58,3762889.77
0.049,0.049,49,60,1985_15,615.24,1235.55,1850.79,1985,15,1815411.08,1899843.71,3715254.79
0.06899999999999999,0.06899999999999999,67,59,1985_16,768.3,1763.79,2532.09,1985,16,1780969.27,1865864.09,3646833.36
0.08,0.08,79,58,1985_17,838.33,2086.93,2925.26,1985,17,1795004.72,1887660.82,3682665.54
0.101,0.101,99,57,1985_18,995.39,2724.22,3719.61,1985,18,1829593.99,1892828.05,3722422.04
0.10200000000000001,0.10200000000000001,100,56,1985_19,1021.4,3025.35,4046.75,1985,19,2009541.23,2051938.92,4061480.15
0.1,0.1,98,56,1985_20,1004.39,3141.4,4145.79,1985,20,2086709.38,2133339.31,4220048.69
0.11,0.11,107,55,1985_21,1078.42,3536.58,4615.0,1985,21,2101609.3,2146349.66,4247958.96
0.109,0.109,107,54,1985_22,1133.44,3469.56,4603.0,1985,22,2102633.76,2137937.7,4240571.46
0.11,0.11,108,53,1985_23,1117.43,3582.6,4700.03,1985,23,2140350.8,2162091.13,4302441.93
0.109,0.109,107,52,1985_24,1204.47,3608.61,4813.08,1985,24,2182610.32,2202999.95,4385610.27
0.11100000000000002,0.11100000000000002,108,51,1985_25,1208.47,3632.62,4841.09,1985,25,2174305.19,2187267.86,4361573.05
0.109,0.109,106,50,1985_26,1242.48,3516.57,4759.05,1985,26,2173911.98,2179386.56,4353298.54
0.11299999999999999,0.11299999999999999,110,49,1985_27,1329.52,3637.63,4967.15,1985,27,2191220.68,2195759.82,4386980.5
0.123,0.123,119,48,1985_28,1374.53,3735.67,5110.2,1985,28,2058252.79,2053235.58,4111488.37
0.11499999999999999,0.11499999999999999,112,47,1985_29,1363.53,3698.65,5062.18,1985,29,2175978.71,2175835.77,4351814.48
0.124,0.124,120,46,1985_30,1425.56,3844.72,5270.28,1985,30,2113196.18,2097745.52,4210941.7
0.129,0.129,125,45,1985_31,1509.59,3752.68,5262.27,1985,31,2022020.73,1993807.31,4015828.04
0.13899999999999998,0.13899999999999998,134,44,1985_32,1670.65,3856.73,5527.38,1985,32,1979602.7,1950899.35,3930502.05
0.14400000000000002,0.14400000000000002,139,43,1985_33,1688.66,3851.72,5540.38,1985,33,1921999.25,1878351.39,3800350.64
0.14300000000000002,0.14300000000000002,138,42,1985_34,1690.66,3843.72,5534.38,1985,34,1917659.92,1889657.09,3807317.01
0.155,0.155,149,41,1985_35,1813.71,3939.76,5753.47,1985,35,1866329.24,1825714.4,3692043.64
0.164,0.164,158,40,1985_36,1885.73,4057.81,5943.54,1985,36,1832350.09,1779671.24,3612021.33
0.173,0.173,166,40,1985_37,1930.75,4362.95,6293.7,1985,37,1904880.33,1845811.38,3750691.71
0.186,0.186,178,39,1985_38,2258.88,4430.98,6689.86,1985,38,1642113.47,1585529.04,3227642.51
0.189,0.189,181,38,1985_39,1992.78,3778.69,5771.47,1985,39,1497962.07,1456135.32,2954097.39
0.208,0.208,199,37,1985_40,2118.83,4021.8,6140.63,1985,40,1500313.72,1447819.46,2948133.18
0.234,0.234,223,36,1985_41,2353.92,4364.95,6718.87,1985,41,1500192.1,1446625.3,2946817.4
0.257,0.257,244,35,1985_42,2638.03,5024.24,7662.27,1985,42,1451555.46,1403737.76,2855293.22
0.272,0.272,258,34,1985_43,2627.03,4675.09,7302.12,1985,43,1327085.29,1271941.92,2599027.21
0.293,0.293,277,33,1985_44,2710.06,4857.17,7567.23,1985,44,1279317.51,1233515.92,2512833.43
0.328,0.327,308,32,1985_45,2871.12,5073.27,7944.39,1985,45,1223665.61,1174873.77,2398539.38
0.357,0.357,335,31,1985_46,3056.2,5436.43,8492.63,1985,46,1210773.21,1156917.04,2367690.25
0.388,0.387,363,30,1985_47,3406.32,5784.59,9190.91,1985,47,1193516.54,1136674.3,2330190.84
0.45799999999999996,0.457,427,30,1985_48,3733.45,6182.77,9916.22,1985,48,1098812.34,1046895.11,2145707.45
0.47000000000000003,0.469,435,29,1985_49,4012.56,6717.0,10729.56,1985,49,1163258.78,1112065.07,2275323.85
0.527,0.526,486,28,1985_50,4391.71,7431.33,11823.04,1985,50,1136232.71,1069708.99,2205941.7
0.5950000000000001,0.5930000000000001,546,27,1985_51,4587.79,7878.53,12466.32,1985,51,1080043.77,1016624.97,2096668.74
0.656,0.653,597,26,1985_52,5216.03,8647.87,13863.9,1985,52,1096199.98,1022539.81,2118739.79
0.7080000000000001,0.705,640,25,1985_53,5693.22,9639.31,15332.53,1985,53,1140400.13,1061455.18,2201855.31
0.751,0.748,675,24,1985_54,6362.48,10561.73,16924.21,1985,54,1183707.31,1098100.1,2281807.41
0.857,0.853,763,24,1985_55,6992.73,12089.4,19082.13,1985,55,1168358.65,1074122.48,2242481.13
0.9119999999999999,0.907,805,23,1985_56,7653.99,12931.78,20585.77,1985,56,1190659.69,1085333.35,2275993.04
1.005,1.0,879,22,1985_57,8665.39,14538.51,23203.9,1985,57,1219425.08,1098996.38,2318421.46
1.16,1.153,1003,21,1985_58,9446.69,15877.1,25323.79,1985,58,1156174.99,1025857.82,2182032.81
1.198,1.191,1024,21,1985_59,10226.99,16818.52,27045.51,1985,59,1208150.19,1062849.53,2270999.72
1.341,1.332,1133,20,1985_60,11515.5,18688.36,30203.86,1985,60,1215389.02,1054427.15,2269816.17
1.435,1.425,1195,19,1985_61,12039.7,19534.74,31574.44,1985,61,1172931.67,1019320.52,2192252.19
1.6039999999999999,1.591,1315,18,1985_62,13203.15,21036.41,34239.56,1985,62,1147447.74,991310.71,2138758.45
1.7069999999999999,1.693,1377,18,1985_63,14108.5,22486.06,36594.56,1985,63,1148314.66,1000526.62,2148841.28
1.813,1.796,1437,17,1985_64,14958.84,23789.64,38748.48,1985,64,1134794.0,970227.67,2105021.67
2.0340000000000003,2.013,1581,16,1985_65,16194.32,25002.19,41196.51,1985,65,1085133.76,909538.83,1994672.59
2.109,2.0869999999999997,1606,16,1985_66,15954.23,24628.02,40582.25,1985,66,1049400.43,867529.69,1916930.12
2.2849999999999997,2.259,1703,15,1985_67,17172.71,26093.67,43266.38,1985,67,1040174.1,844135.92,1884310.02
2.506,2.475,1823,14,1985_68,17952.01,26598.89,44550.9,1985,68,981054.98,776581.81,1757636.79
2.716,2.68,1925,14,1985_69,19244.51,28000.52,47245.03,1985,69,976334.15,749088.29,1725422.44
3.031,2.9850000000000003,2087,13,1985_70,20404.97,29445.17,49850.14,1985,70,934378.01,705651.92,1640029.93
3.261,3.209,2176,12,1985_71,21586.43,30103.46,51689.89,1985,71,906997.38,670984.23,1577981.61
3.581,3.5180000000000002,2310,12,1985_72,22703.86,30799.78,53503.64,1985,72,862510.06,624958.27,1487468.33
3.849,3.7760000000000002,2392,11,1985_73,23531.19,30949.85,54481.04,1985,73,821332.43,582162.76,1403495.19
4.125,4.042,2463,11,1985_74,24962.75,31522.1,56484.85,1985,74,803385.65,551609.73,1354995.38
4.513,4.414,2581,10,1985_75,26190.23,31661.16,57851.39,1985,75,757708.62,508620.14,1266328.76
4.849,4.734,2646,10,1985_76,26477.34,30821.78,57299.12,1985,76,708896.89,459027.13,1167924.02
5.323,5.185,2761,9,1985_77,27721.82,30894.82,58616.64,1985,77,670548.31,417677.15,1088225.46
5.761,5.6000000000000005,2827,9,1985_78,28184.01,30089.46,58273.47,1985,78,622966.37,376629.03,999595.4
6.239,6.05,2884,8,1985_79,28980.32,29250.08,58230.4,1985,79,581453.67,339097.16,920550.83
7.04,6.801,3045,8,1985_80,29724.61,28360.69,58085.3,1985,80,519767.49,290888.76,810656.25
7.636,7.355,3070,7,1985_81,29983.71,26806.99,56790.7,1985,81,477612.43,256899.52,734511.95
8.36,8.024000000000001,3103,7,1985_82,30461.9,25745.51,56207.41,1985,82,440322.93,226772.49,667095.42
9.062000000000001,8.67,3083,6,1985_83,29484.51,23573.55,53058.06,1985,83,374223.23,185059.57,559282.8
10.311,9.805,3185,6,1985_84,31880.45,22793.19,54673.64,1985,84,378637.93,176073.08,554711.01
11.214,10.619,3111,5,1985_85,31040.12,20796.3,51836.42,1985,85,291759.19,132876.57,424635.76
12.020999999999999,11.34,2969,5,1985_86,28559.15,17887.0,46446.15,1985,86,278023.46,118647.47,396670.93
13.200999999999999,12.384,2875,5,1985_87,28194.0,16720.48,44914.48,1985,87,233173.2,97302.39,330475.59
14.533999999999999,13.549,2756,4,1985_88,26705.43,15542.96,42248.39,1985,88,210548.74,84073.35,294622.09
15.887,14.718,2588,4,1985_89,26087.19,13817.18,39904.37,1985,89,180297.72,69204.83,249502.55
17.343,15.959000000000001,2393,4,1985_90,24030.38,11891.32,35921.7,1985,90,148137.63,54988.76,203126.39
18.629,17.041999999999998,2148,4,1985_91,21054.22,9944.45,30998.67,1985,91,120619.01,42880.75,163499.76
21.016000000000002,19.017,1988,3,1985_92,19379.57,8719.9,28099.47,1985,92,99615.94,34046.07,133662.01
22.744,20.422,1729,3,1985_93,16568.47,6875.07,23443.54,1985,93,74545.02,24266.08,98811.1
24.708,21.991,1482,3,1985_94,13697.35,5349.39,19046.74,1985,94,58403.2,18260.66,76663.86
26.277,23.225,1221,3,1985_95,11367.44,4138.85,15506.29,1985,95,44137.53,13484.07,57621.6
28.419,24.883,1004,2,1985_96,9016.52,3267.46,12283.98,1985,96,32417.23,9484.72,41901.95
30.671,26.593,806,2,1985_97,6564.56,2242.0,8806.56,1985,97,21155.4,6097.94,27253.34
33.028999999999996,28.347,631,2,1985_98,4795.87,1506.67,6302.54,1985,98,14844.96,4015.45,18860.41
35.483,30.137000000000004,480,2,1985_99,3616.41,1087.48,4703.89,1985,99,10019.6,2658.84,12678.44
38.024,31.95,356,2,1985_100,2118.82,632.28,2751.1,1985,100,6772.73,1729.08,8501.81
40.641,33.777,256,2,1985_101,1749.69,468.21,2217.9,1985,101,4341.95,1062.11,5404.06
43.318,35.606,179,2,1985_102,1116.43,297.14,1413.57,1985,102,2713.19,675.86,3389.05
46.042,37.425999999999995,121,2,1985_103,738.29,184.08,922.37,1985,103,1697.73,415.1,2112.83
48.796,39.226,79,1,1985_104,436.17,124.06,560.23,1985,104,994.67,287.1,1281.77
51.563,40.994,50,1,1985_105,258.1,87.04,345.14,1985,105,527.89,174.15,702.04
54.325,42.721,31,1,1985_106,155.06,40.02,195.08,1985,106,321.68,70.6,392.28
57.065999999999995,44.397999999999996,18,1,1985_107,101.04,24.01,125.05,1985,107,193.92,58.42,252.34
59.768,46.016,11,1,1985_108,47.02,32.02,79.04,1985,108,129.96,43.22,173.18
62.415,47.57,6,1,1985_109,32.02,8.0,40.02,1985,109,101.61,18.07,119.68
64.993,100.0,7,1,1985_110,77.02,33.0,110.02,1985,110,150.92,66.83,217.75
1.05,1.0410000000000001,1041,74,1986_0,16674.76,22234.74,38909.5,1986,0,1801361.1,1887764.05,3689125.15
0.08099999999999999,0.08099999999999999,80,74,1986_1,1316.61,1583.77,2900.38,1986,1,1724785.93,1807620.01,3532405.94
0.055,0.055,54,73,1986_2,818.38,1098.53,1916.91,1986,2,1718762.97,1800734.0,3519496.97
0.041,0.041,41,72,1986_3,588.27,875.43,1463.7,1986,3,1745504.42,1826752.24,3572256.66
0.033,0.033,33,71,1986_4,496.23,706.34,1202.57,1986,4,1753452.87,1835489.0,3588941.87
0.027,0.027,26,70,1986_5,388.18,564.27,952.45,1986,5,1731178.91,1811875.87,3543054.78
0.025,0.025,25,69,1986_6,351.16,541.26,892.42,1986,6,1690190.6,1768170.61,3458361.21
0.023,0.023,23,68,1986_7,333.15,464.22,797.37,1986,7,1651869.26,1730136.74,3382006.0
0.023,0.023,22,67,1986_8,300.14,432.2,732.34,1986,8,1563146.3,1641931.19,3205077.49
0.021,0.021,21,66,1986_9,273.13,436.21,709.34,1986,9,1606181.13,1687540.78,3293721.91
0.022000000000000002,0.022000000000000002,21,65,1986_10,285.14,426.21,711.35,1986,10,1596428.92,1682985.32,3279414.24
0.023,0.023,22,64,1986_11,268.13,463.23,731.36,1986,11,1571610.87,1651622.58,3223233.45
0.026,0.026,26,63,1986_12,273.12,574.28,847.4,1986,12,1573503.49,1647678.37,3221181.86
0.03,0.03,29,62,1986_13,365.17,624.3,989.47,1986,13,1652700.68,1727111.86,3379812.54
0.041,0.041,40,61,1986_14,449.21,979.47,1428.68,1986,14,1779340.92,1867092.68,3646433.6
0.053,0.053,52,60,1986_15,640.3,1373.66,2013.96,1986,15,1851322.32,1943084.28,3794406.6
0.076,0.076,75,59,1986_16,859.4,2001.97,2861.37,1986,16,1817290.22,1908526.25,3725816.47
0.089,0.089,88,58,1986_17,920.43,2411.16,3331.59,1986,17,1796532.19,1893612.21,3690144.4
0.108,0.108,106,57,1986_18,1004.47,2912.41,3916.88,1986,18,1790226.12,1855751.33,3645977.45
0.106,0.106,104,57,1986_19,1015.47,3092.49,4107.96,1986,19,1934668.91,1979009.56,3913678.47
0.11299999999999999,0.11299999999999999,111,56,1986_20,1043.48,3426.66,4470.14,1986,20,1996504.1,2044387.04,4040891.14
0.116,0.116,114,55,1986_21,1089.51,3637.76,4727.27,1986,21,2051920.24,2103678.65,4155598.89
0.11299999999999999,0.11299999999999999,111,54,1986_22,1100.52,3590.73,4691.25,1986,22,2071530.52,2117867.27,4189397.79
0.11499999999999999,0.11499999999999999,112,53,1986_23,1192.55,3636.75,4829.3,1986,23,2101601.5,2131899.11,4233500.61
0.11499999999999999,0.11499999999999999,112,52,1986_24,1233.57,3764.82,4998.39,1986,24,2178011.87,2206218.63,4384230.5
0.11499999999999999,0.11499999999999999,112,51,1986_25,1295.6,3776.83,5072.43,1986,25,2183975.15,2203249.27,4387224.42
0.117,0.117,114,50,1986_26,1334.62,3726.8,5061.42,1986,26,2169167.04,2176403.76,4345570.8
0.12,0.12,116,49,1986_27,1364.63,3894.88,5259.51,1986,27,2192276.74,2199603.75,4391880.49
0.127,0.127,123,48,1986_28,1345.63,3970.92,5316.55,1986,28,2093051.29,2094185.88,4187237.17
0.128,0.128,124,47,1986_29,1541.72,4235.04,5776.76,1986,29,2233007.38,2237423.28,4470430.66
0.135,0.135,131,46,1986_30,1490.69,4379.11,5869.8,1986,30,2149096.71,2138127.68,4287224.39
0.14100000000000001,0.13999999999999999,136,45,1986_31,1613.75,4216.03,5829.78,1986,31,2067386.11,2044633.46,4112019.57
0.146,0.146,141,44,1986_32,1702.79,4241.05,5943.84,1986,32,2030236.52,2002145.04,4032381.56
0.158,0.157,152,43,1986_33,1792.84,4423.14,6215.98,1986,33,1968614.43,1928352.59,3896967.02
0.157,0.157,151,42,1986_34,1828.85,4382.11,6210.96,1986,34,1974162.98,1949892.49,3924055.47
0.166,0.166,160,42,1986_35,1869.87,4501.18,6371.05,1986,35,1902126.08,1864734.78,3766860.86
0.174,0.173,167,41,1986_36,1933.9,4403.12,6337.02,1986,36,1838558.97,1789595.46,3628154.43
0.17600000000000002,0.17600000000000002,169,40,1986_37,1974.92,4460.15,6435.07,1986,37,1846834.6,1791544.94,3638379.54
0.2,0.2,191,39,1986_38,2234.04,4738.29,6972.33,1986,38,1824909.22,1766537.16,3591446.38
0.19,0.189,181,38,1986_39,2461.15,4935.38,7396.53,1986,39,1764438.38,1719426.94,3483865.32
0.214,0.214,204,37,1986_40,2229.04,4207.03,6436.07,1986,40,1483712.33,1435728.93,2919441.26
0.232,0.232,220,36,1986_41,2305.08,4341.1,6646.18,1986,41,1458392.14,1406149.55,2864541.69
0.26,0.26,247,35,1986_42,2557.19,4943.38,7500.57,1986,42,1502324.08,1453845.96,2956170.04
0.27699999999999997,0.27599999999999997,262,34,1986_43,2964.38,5249.53,8213.91,1986,43,1453325.22,1396432.81,2849758.03
0.296,0.296,279,33,1986_44,2951.37,5166.49,8117.86,1986,44,1349018.86,1304173.56,2653192.42
0.328,0.327,308,32,1986_45,2988.39,5313.56,8301.95,1986,45,1258794.47,1210154.73,2468949.2
0.361,0.36,338,31,1986_46,3158.47,5530.67,8689.14,1986,46,1220106.88,1167680.97,2387787.85
0.379,0.379,354,31,1986_47,3333.55,5769.78,9103.33,1986,47,1223927.92,1167462.19,2391390.11
